,GNFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N2 PLANT,,
DAILY LOG AVERAGE C201_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,SHIFT 2,,,,,,,,,,,,,,,
Sr No,Tag Name,Description,Engg Units,"Alarm
Value","Max
Value",Time,"Min
Value",Time,"Avg
Value","5am
-
6am","6am
-
7am","7am
-
8am","8am
-
9am","9am
-
10am","10am
-
11am","11am
-
12pm","12pm
-
1pm","1pm
-
2pm","2pm
-
3pm","3pm
-
4pm","4pm
-
5pm","5pm
-
6pm","6pm
-
7pm","7pm
-
8pm","8pm
-
9pm","9pm
-
10pm","10pm
-
11pm","11pm
-
12am","12am
-
1am","1am
-
2am","2am
-
3am","3am
-
4am","4am
-
5am"
1,TIC36611,Temp Control from E36610 to C36119,,,100.00,5:01,100.00,5:01,100.00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,TIC36607, Temp of ODCB Pri Cooler E36609 ,,,22.91,23:50,21.22,7:43,22.16,21.55,21.36,21.25,21.42,21.84,22.14,22.38,22.83,22.79,22.64,22.55,22.50,22.48,22.45,22.43,22.24,22.19,22.12,22.16,22.14,22.20,22.17,21.97,21.97
3,TIC36607, Temp control of Pri CoolerE36609 ,,,100.00,5:01,100.00,5:01,100.00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,TI36662, Temp WCR from Pri Cooler E36609,,,72.15,7:06,39.15,14:51,62.75,67.95,70.05,71.59,70.63,70.51,70.36,69.58,52.18,39.77,39.27,39.25,45.19,66.44,67.61,67.53,67.45,67.45,67.29,67.19,67.14,66.99,65.88,64.61,64.16
5,TI36663, Temp RFR from Sec cooler E36610,,,-11.25,9:36,-12.39,20:46,-12.00,-11.78,-11.61,-11.64,-11.63,-11.69,-11.86,-12.00,-12.01,-11.99,-12.03,-12.08,-12.11,-12.16,-12.21,-12.27,-12.32,-12.04,-11.77,-11.78,-12.01,-12.15,-12.23,-12.31,-12.33
6,JI36644,Current of Recycle Phos Feed P36614,,,144.16,8:56,135.85,4:38,140.03,139.41,139.79,140.46,140.63,141.50,141.91,142.01,140.82,140.51,141.39,141.99,142.40,142.12,142.37,140.71,138.87,139.05,138.83,138.68,138.23,137.82,137.37,137.13,136.65
7,TI36655, Temp of PHO Feed Pump P36614,,,85.88,16:45,84.55,4:10,85.18,84.92,84.90,84.80,84.82,85.17,85.44,85.31,85.13,85.37,85.36,85.69,85.79,85.78,85.76,85.54,85.35,85.21,85.08,84.99,84.75,84.82,84.88,84.83,84.74
8,PI36648, Discharge Pressure of P36614 ,,,18.14,2:02,17.59,16:54,17.85,17.74,17.75,17.77,17.77,17.79,17.79,17.77,17.76,17.77,17.75,17.71,17.68,17.70,17.74,17.86,17.90,17.93,17.97,17.95,17.99,18.02,18.06,18.06,18.06
9,JI36626,Current of Absorber Pump P36612,,,45.36,18:19,42.22,5:26,44.12,42.68,42.93,43.14,43.36,43.65,44.24,44.65,44.15,43.95,44.32,44.37,44.58,44.60,44.88,44.74,44.30,44.49,44.60,44.54,44.48,44.23,44.12,44.06,43.70
10,TI36654, Temp of Absorber Pump P36612,,,70.21,16:46,67.54,4:08,68.83,67.93,67.84,67.64,67.84,68.51,69.21,69.46,69.60,69.90,69.89,70.11,70.12,70.07,69.80,69.38,69.08,68.82,68.66,68.49,68.13,68.04,67.95,67.84,67.72
11,FI36623, Flow from E36613 to C36611,,,209.35,9:55,119.30,17:54,127.08,BAD,BAD,BAD,BAD,189.17,147.56,121.38,125.77,124.18,122.96,123.30,120.42,120.67,121.32,122.05,121.99,122.52,123.23,123.25,122.94,122.41,122.28,122.36,121.79
12,TI36622, Temp from E36613 to C36611 ,,,98.09,10:02,-145.41,6:37,83.28,65.05,-35.98,59.76,65.51,65.32,96.39,94.87,94.88,95.14,94.74,95.16,94.51,94.09,93.61,92.86,92.83,92.50,91.89,91.63,91.72,92.51,92.92,92.98,93.78
13,JI36624,Current of Intermediate  pump P36619,,,4.79,9:49,4.59,2:55,4.70,4.66,4.69,4.72,4.70,4.72,4.72,4.72,4.72,4.72,4.73,4.74,4.74,4.72,4.70,4.68,4.66,4.67,4.65,4.68,4.68,4.68,4.67,4.68,4.68
14,TI36653, Temp of Intermidiate Pump P36619,,,48.66,16:56,42.71,7:53,46.11,43.91,43.42,42.85,43.34,44.66,45.90,47.07,47.39,47.59,47.81,48.29,48.58,48.50,48.17,47.67,46.91,46.65,46.64,46.42,45.93,45.41,44.89,44.47,44.05
15,FI36651,Flow from E36618 to 5th Tray C36611,,,  -,  -,  -,  -,*,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD
16,TIC36620, Temp of PHO from E36618 to C36611,,,10.36,16:46,9.78,5:23,10.10,9.84,9.86,9.84,9.86,9.97,10.06,10.16,10.17,10.22,10.21,10.25,10.31,10.29,10.25,10.20,10.14,10.11,10.12,10.13,10.11,10.12,10.09,10.03,10.03
17,TIC36630,Temp of PHO Absorber C36611 bottom,,,70.88,10:23,69.59,4:04,70.05,69.97,70.06,70.03,70.13,70.25,70.56,70.20,69.86,69.94,69.98,70.17,70.15,70.08,70.14,70.06,69.96,70.11,70.06,70.04,69.84,69.90,69.95,69.93,69.87
18,PIC36631,Pressure of PHO Absorber C36611 top,,,5.01,0:07,4.99,9:37,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
19,PIC36631, Pressure Control of C36611 top ,,,36.46,18:22,34.02,8:39,35.28,34.48,34.41,34.34,34.14,34.30,34.54,34.49,34.44,34.73,34.81,35.48,35.97,36.06,36.23,36.04,35.93,35.98,35.99,35.87,35.83,35.82,35.71,35.65,35.52
20,PI36642, Pressure of C36611 bottom ,,,5.37,14:38,5.24,8:33,5.30,5.28,5.28,5.27,5.26,5.29,5.30,5.31,5.33,5.32,5.33,5.32,5.32,5.32,5.32,5.30,5.30,5.30,5.30,5.29,5.29,5.29,5.29,5.28,5.28
21,FI36668,Flow of HCLG from C36611 to E36616,,,6726.35,18:41,5539.00,8:19,6181.39,5784.68,5751.98,5722.60,5612.50,5662.94,5762.09,5735.38,5721.59,5869.28,5936.51,6293.44,6509.43,6557.19,6640.97,6566.97,6517.52,6524.75,6531.28,6497.10,6479.23,6477.61,6437.18,6406.19,6354.88
22,TI36670,Temp of HCLG from C36611 to E36616,,,6.22,10:17,5.37,4:56,5.73,5.53,5.66,5.63,5.63,5.76,5.88,5.83,5.90,5.98,5.96,5.94,5.89,5.81,5.73,5.66,5.61,5.72,5.87,5.88,5.70,5.58,5.53,5.44,5.42
23,PDI36634,Pressure Difference ratio,,,367.16,14:39,246.79,8:36,298.96,281.60,280.64,267.93,257.67,285.43,302.37,314.71,328.17,318.35,330.41,320.82,316.30,322.82,318.60,304.91,299.62,294.86,295.75,294.81,293.61,290.64,288.59,283.95,282.50
24,TI36629, Temp of 19th Tray C36611  ,,,11.67,19:13,9.34,4:59,10.10,9.50,9.63,9.67,9.68,9.69,9.72,9.79,9.94,10.07,10.14,10.25,10.65,11.04,11.38,11.36,10.43,10.27,10.38,10.35,10.08,9.81,9.62,9.50,9.38
25,FIC36612, Flow of ODCB from E36610 to C36611,,,32.82,10:17,30.50,23:46,31.50,31.97,32.02,31.94,31.98,32.02,31.73,31.28,31.36,31.31,31.36,31.29,31.37,31.29,31.27,31.31,31.32,31.26,31.33,31.28,31.31,31.26,31.31,31.47,31.87
26,TIC36611, Temp ODCB from E36610 to C36119 ,,,-9.05,9:36,-10.62,20:46,-10.26,-10.05,-9.91,-9.96,-9.94,-9.93,-10.07,-10.27,-10.25,-10.24,-10.28,-10.33,-10.36,-10.40,-10.45,-10.50,-10.55,-10.32,-10.08,-10.05,-10.29,-10.41,-10.47,-10.53,-10.51
27,LIC36641, Level control C36611  ,,,46.00,10:35,32.84,3:48,39.24,40.52,39.69,39.10,39.47,43.18,45.22,43.35,43.08,42.65,42.94,44.17,43.59,42.37,39.06,37.69,38.19,36.46,35.46,34.89,34.15,34.41,34.33,33.49,34.28
28,PI36628,Pr Rupt Disc C36611 Top PSE-36601,,,0.05,14:23,-0.05,6:59,-0.01,-0.05,-0.05,-0.05,-0.03,-0.01,0.01,0.02,0.04,0.04,0.04,0.03,0.02,0.01,-0.01,-0.02,-0.03,-0.03,-0.03,-0.03,-0.04,-0.04,-0.04,-0.05,-0.05
29,TI36659,Temp WCHR from Intr cooler E36618,,,9.88,16:40,9.47,5:23,9.72,9.51,9.57,9.55,9.57,9.65,9.71,9.79,9.78,9.81,9.78,9.82,9.85,9.82,9.80,9.78,9.72,9.69,9.71,9.74,9.73,9.74,9.72,9.68,9.66
30,TIC36620,Temp Control from E36618 to C36611,,,80.00,5:01,80.00,5:01,80.00,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
31,TIC36630,Temp Control of C36611 bottom,,,*,,*,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
32,TI36637, Temp of 7th Tray C36611  ,,,44.08,18:45,22.90,8:19,32.48,23.95,23.81,23.41,23.32,24.66,26.49,28.37,27.99,29.32,30.34,34.46,40.10,42.26,43.50,42.48,38.29,37.72,38.40,37.97,35.95,34.44,32.57,31.17,28.61
33,TI36638, Temp of 3rd Tray C36611  ,,,47.69,18:46,42.45,7:02,45.45,43.03,42.83,42.63,43.13,44.16,45.09,45.89,45.71,45.86,46.14,46.85,47.36,47.49,47.57,47.30,46.56,46.40,46.49,46.37,45.82,45.32,44.80,44.35,43.76
