,GNFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C201,,
DAILY LOG AVERAGE C201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,SHIFT 2,,,,,,,,,,,,,,,
Sr No,Tag Name,Description,Engg Units,"Alarm
Value","Max
Value",Time,"Min
Value",Time,"Avg
Value","5am
-
6am","6am
-
7am","7am
-
8am","8am
-
9am","9am
-
10am","10am
-
11am","11am
-
12pm","12pm
-
1pm","1pm
-
2pm","2pm
-
3pm","3pm
-
4pm","4pm
-
5pm","5pm
-
6pm","6pm
-
7pm","7pm
-
8pm","8pm
-
9pm","9pm
-
10pm","10pm
-
11pm","11pm
-
12am","12am
-
1am","1am
-
2am","2am
-
3am","3am
-
4am","4am
-
5am"
1,FIC36612, Flow control from E36610 to C36611 ,,,53.41,13:09,51.90,12:25,52.83,52.71,52.67,52.68,52.64,52.70,52.74,52.88,52.87,53.06,53.05,53.05,53.08,53.02,53.03,52.57,52.69,52.75,52.76,52.78,52.83,52.88,52.78,52.84,52.81
2,TIC36611,Temp Control from E36610 to C36119,,,100.00,5:01,100.00,5:01,100.00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,TIC36607, Temp of ODCB Pri Cooler E36609 ,,,24.14,16:21,23.19,19:09,23.59,23.67,23.53,23.38,23.48,23.44,23.62,23.49,23.61,23.80,23.90,23.75,24.06,23.95,23.80,23.55,23.46,23.43,23.34,23.41,23.42,23.51,23.47,23.52,23.50
4,TIC36607, Temp control of Pri CoolerE36609 ,,,100.00,5:01,100.00,5:01,100.00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,TI36662, Temp WCR from Pri Cooler E36609,,,12.81,16:21,11.96,7:12,12.35,12.33,12.09,12.02,12.14,12.19,12.44,12.30,12.38,12.54,12.53,12.41,12.71,12.53,12.44,12.39,12.31,12.33,12.24,12.30,12.36,12.39,12.39,12.38,12.34
6,TI36663, Temp RFR from Sec cooler E36610,,,-11.13,13:25,-12.19,9:59,-11.52,-11.74,-11.34,-11.32,-11.57,-12.00,-11.74,-11.41,-11.30,-11.29,-11.54,-11.42,-11.25,-11.24,-11.25,-11.40,-11.51,-11.61,-11.78,-11.96,-12.03,-11.71,-11.47,-11.31,-11.25
7,JI36644,Current of Recycle Phos Feed P36614,,,-0.19,10:29,-0.23,7:00,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.22,-0.21,-0.21,-0.22,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.22
8,TI36655, Temp of PHO Feed Pump P36614,,,30.11,17:53,27.59,8:03,28.44,27.77,27.70,27.63,27.63,27.77,28.07,28.46,28.78,29.09,29.36,29.49,29.74,30.02,29.86,29.42,28.92,28.45,28.03,27.76,27.65,27.64,27.72,27.79,27.80
9,PI36648, Discharge Pressure of P36614 ,,,6.47,21:44,6.21,19:31,6.41,6.43,6.42,6.41,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.36,6.41,6.38,6.42,6.36,6.42,6.42,6.42,6.42,6.41,6.41,6.42,6.41,6.41
10,JI36626,Current of Absorber Pump P36612,,,46.63,14:39,41.73,20:23,44.73,43.71,44.14,44.41,45.08,45.38,45.80,45.83,45.69,45.60,45.95,45.74,45.92,45.64,45.22,44.22,43.50,43.80,43.73,43.68,43.73,43.83,44.18,44.26,44.41
11,TI36654, Temp of Absorber Pump P36612,,,74.25,21:48,72.95,19:53,73.55,73.73,73.81,73.66,73.64,73.73,73.60,73.30,73.29,73.40,73.46,73.32,73.40,73.40,73.58,73.44,73.55,73.56,73.82,73.93,73.89,73.77,73.37,73.36,73.23
12,FI36623, Flow from E36613 to C36611,,,0.00,,0.00,,*,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD,BAD
13,TI36622, Temp from E36613 to C36611 ,,,107.37,21:45,89.48,13:39,95.42,97.78,97.28,96.76,95.85,95.75,94.32,93.00,92.77,92.48,92.39,93.45,92.53,93.36,94.78,97.06,99.19,98.43,98.83,98.67,97.68,96.31,94.50,93.91,92.98
14,JI36624,Current of Intermediate  pump P36619,,,6.59,13:25,6.31,3:41,6.49,6.41,6.46,6.49,6.52,6.58,6.59,6.57,6.53,6.51,6.57,6.59,6.59,6.55,6.50,6.49,6.48,6.49,6.47,6.45,6.40,6.40,6.40,6.38,6.38
15,TI36653, Temp of Intermidiate Pump P36619,,,50.13,20:49,47.80,15:08,49.07,49.35,48.95,48.58,48.50,48.67,48.69,48.72,48.77,48.88,48.84,48.66,49.76,49.52,49.95,49.07,49.73,49.77,49.42,49.22,49.20,49.16,48.99,48.75,48.49
16,FI36651,Flow from E36618 to 5th Tray C36611,,,31.26,2:23,29.01,6:45,29.92,29.90,29.87,29.92,29.90,29.94,29.90,29.79,29.83,29.93,29.88,29.90,29.82,29.91,29.86,29.90,29.93,29.88,29.98,29.98,29.93,29.96,30.01,30.07,30.12
17,TIC36620, Temp of PHO from E36618 to C36611,,,17.76,5:03,16.53,15:08,17.14,17.52,17.10,16.98,17.01,17.05,17.14,17.06,17.02,17.11,17.03,16.92,17.32,17.12,17.26,17.07,17.26,17.33,17.25,17.22,17.25,17.17,17.18,17.08,16.92
18,TIC36630,Temp of PHO Absorber C36611 bottom,,,70.84,21:50,69.35,21:44,70.01,70.03,70.01,70.01,70.01,70.00,70.05,70.02,69.99,70.01,70.00,69.99,70.01,69.99,69.97,69.92,70.00,70.01,70.03,70.00,70.00,70.04,70.02,70.00,70.01
